timestamp,name,session,label,phase,repetition,fatigue,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08
2026-09-15 22:06:50.148564,vivienne,1,flexion,moving,1,1,3,5,4,11,2,-5,-6,3
2026-09-15 22:06:50.149606,vivienne,1,flexion,moving,1,1,-1,-11,-17,-6,-4,0,4,2
2026-09-15 22:06:50.155823,vivienne,1,flexion,moving,1,1,-6,-10,19,-6,-4,0,-2,0
2026-09-15 22:06:50.156425,vivienne,1,flexion,moving,1,1,-2,2,-7,0,9,-6,-5,-4
2026-09-15 22:06:50.170351,vivienne,1,flexion,moving,1,1,4,8,3,8,-5,1,-2,-2
2026-09-15 22:06:50.170619,vivienne,1,flexion,moving,1,1,-3,-12,-15,-16,0,2,2,0
2026-09-15 22:06:50.177851,vivienne,1,flexion,moving,1,1,-5,-8,4,-6,-5,-1,3,-1
2026-09-15 22:06:50.178123,vivienne,1,flexion,moving,1,1,3,9,4,3,-6,-8,-3,-3
2026-09-15 22:06:50.186800,vivienne,1,flexion,moving,1,1,2,6,-5,7,-4,-6,-1,0
2026-09-15 22:06:50.187038,vivienne,1,flexion,moving,1,1,-4,-11,-4,-3,0,9,-1,0
2026-09-15 22:06:50.200993,vivienne,1,flexion,moving,1,1,-7,-4,4,-11,-6,3,-1,3
2026-09-15 22:06:50.201264,vivienne,1,flexion,moving,1,1,3,8,13,6,-6,-6,6,6
2026-09-15 22:06:50.207926,vivienne,1,flexion,moving,1,1,3,7,-14,4,3,-6,-3,-3
2026-09-15 22:06:50.208354,vivienne,1,flexion,moving,1,1,0,-10,0,-2,4,4,-2,-2
2026-09-15 22:06:50.215540,vivienne,1,flexion,moving,1,1,-6,-7,-7,-13,-9,2,-5,-2
2026-09-15 22:06:50.215861,vivienne,1,flexion,moving,1,1,3,6,-1,-3,1,-9,-4,0
2026-09-15 22:06:50.230645,vivienne,1,flexion,moving,1,1,10,8,6,10,4,-5,0,-10
2026-09-15 22:06:50.231195,vivienne,1,flexion,moving,1,1,-3,-9,6,-10,-5,6,6,1
2026-09-15 22:06:50.238094,vivienne,1,flexion,moving,1,1,-5,-3,9,-3,3,2,0,4
2026-09-15 22:06:50.238667,vivienne,1,flexion,moving,1,1,-3,2,-35,-13,-5,-11,-4,-3
2026-09-15 22:06:50.247063,vivienne,1,flexion,moving,1,1,2,7,3,13,1,-3,-2,-5
2026-09-15 22:06:50.247424,vivienne,1,flexion,moving,1,1,-4,-10,-2,-11,-1,0,-4,1
2026-09-15 22:06:50.261293,vivienne,1,flexion,moving,1,1,-4,-7,0,-5,0,4,4,-2
2026-09-15 22:06:50.261743,vivienne,1,flexion,moving,1,1,-1,14,4,11,-5,-12,-1,0
2026-09-15 22:06:50.268315,vivienne,1,flexion,moving,1,1,3,11,-3,12,2,1,-4,-5
2026-09-15 22:06:50.268908,vivienne,1,flexion,moving,1,1,-4,-11,5,-8,-7,5,3,-3
2026-09-15 22:06:50.275606,vivienne,1,flexion,moving,1,1,-1,-6,-4,-9,3,-2,-2,-5
2026-09-15 22:06:50.276056,vivienne,1,flexion,moving,1,1,4,4,-6,3,-4,-2,3,-3
2026-09-15 22:06:50.290506,vivienne,1,flexion,moving,1,1,1,-5,4,5,1,1,-1,0
2026-09-15 22:06:50.290890,vivienne,1,flexion,moving,1,1,-4,-13,-15,-12,-2,7,3,-3
2026-09-15 22:06:50.298109,vivienne,1,flexion,moving,1,1,-2,-8,4,-12,-4,4,-3,-3
2026-09-15 22:06:50.298452,vivienne,1,flexion,moving,1,1,0,4,1,2,-1,-6,-5,-2
2026-09-15 22:06:50.307050,vivienne,1,flexion,moving,1,1,5,9,-2,4,-4,-4,-4,2
2026-09-15 22:06:50.307369,vivienne,1,flexion,moving,1,1,-4,-9,-2,-8,-9,12,-1,-2
